Time	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh .JCI Trend Log.Present Value (kWh)	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.JCI Trend Log.Present Value (kWh)	
10/30/20, 12:00:00 AM CET	15567.0	13829.0	
10/31/20, 12:00:00 AM CET	15735.0	13833.0	
11/1/20, 12:00:00 AM CET	15830.0	13839.0	
11/2/20, 12:00:00 AM CET	15849.0	13840.0	
11/3/20, 12:00:00 AM CET	15849.0	13840.0	
11/4/20, 12:00:00 AM CET	16007.0	13847.0	
11/5/20, 12:00:00 AM CET	16200.0	13850.0	
11/6/20, 12:00:00 AM CET	16400.0	13854.0	
11/7/20, 12:00:01 AM CET	16704.0	13858.0	
11/8/20, 12:00:00 AM CET	16883.0	13861.0	
11/9/20, 12:00:00 AM CET	16909.0	13862.0	
11/10/20, 12:00:00 AM CET	16909.0	13862.0	
11/11/20, 12:00:00 AM CET	17110.0	13867.0	
11/12/20, 12:00:00 AM CET	17276.0	13871.0	
11/13/20, 12:00:00 AM CET	17467.0	13876.0	
11/14/20, 12:00:00 AM CET	17639.0	13880.0	
11/15/20, 12:00:00 AM CET	17837.0	13884.0	
11/16/20, 12:00:00 AM CET	17860.0	13884.0	
11/17/20, 12:00:00 AM CET	17860.0	13884.0	
11/18/20, 12:00:00 AM CET	18114.0	13888.0	
11/19/20, 12:00:00 AM CET	18279.0	13896.0	
11/20/20, 12:00:00 AM CET	18430.0	13904.0	
11/21/20, 12:00:00 AM CET	18658.0	13911.0	
11/22/20, 12:00:00 AM CET	18945.0	13916.0	
11/23/20, 12:00:00 AM CET	18972.0	13916.0	
11/24/20, 12:00:00 AM CET	18972.0	13916.0	
11/25/20, 12:00:00 AM CET	19063.0	13917.0	
11/26/20, 12:00:00 AM CET	19072.0	13917.0	
11/27/20, 12:00:00 AM CET	19075.0	13917.0	
11/28/20, 12:00:00 AM CET	19077.0	13917.0	
11/29/20, 12:00:00 AM CET	19079.0	13917.0	
11/30/20, 12:00:00 AM CET	19079.0	13917.0	
12/1/20, 12:00:00 AM CET	19079.0	13917.0	
12/2/20, 12:00:00 AM CET	19082.0	13917.0	
12/3/20, 12:00:00 AM CET	19083.0	13917.0	
12/4/20, 12:00:00 AM CET	19097.0	13918.0	
12/5/20, 12:00:00 AM CET	19097.0	13918.0	
12/6/20, 12:00:00 AM CET	19097.0	13918.0	
12/7/20, 12:00:00 AM CET	19097.0	13918.0	
12/8/20, 12:00:00 AM CET	19097.0	13918.0	
12/9/20, 12:00:00 AM CET	19097.0	13918.0	
12/10/20, 12:00:00 AM CET	19097.0	13918.0	
12/11/20, 12:00:00 AM CET	19097.0	13918.0	
12/12/20, 12:00:00 AM CET	19097.0	13918.0	
12/13/20, 12:00:00 AM CET	19097.0	13918.0	
12/14/20, 12:00:00 AM CET	19097.0	13918.0	
12/15/20, 12:00:00 AM CET	19097.0	13918.0	
12/16/20, 12:00:00 AM CET	19097.0	13918.0	
12/17/20, 12:00:00 AM CET	19097.0	13918.0	
12/18/20, 12:00:00 AM CET	19097.0	13918.0	
12/19/20, 12:00:00 AM CET	19097.0	13918.0	
12/20/20, 12:00:00 AM CET	19097.0	13918.0	
12/21/20, 12:00:00 AM CET	19097.0	13918.0	
12/22/20, 12:00:00 AM CET	19097.0	13918.0	
12/23/20, 12:00:00 AM CET	19097.0	13918.0	
12/24/20, 12:00:00 AM CET	19097.0	13918.0	
12/25/20, 12:00:00 AM CET	19097.0	13918.0	
12/26/20, 12:00:00 AM CET	19097.0	13918.0	
12/27/20, 12:00:00 AM CET	19097.0	13918.0	
12/28/20, 12:00:00 AM CET	19097.0	13918.0	
12/29/20, 12:00:00 AM CET	19097.0	13918.0	
12/30/20, 12:00:00 AM CET	19097.0	13918.0	
12/31/20, 12:00:00 AM CET	19097.0	13918.0	
1/1/21, 12:00:00 AM CET	19097.0	13918.0	
1/2/21, 12:00:00 AM CET	19097.0	13918.0	
1/3/21, 12:00:00 AM CET	19097.0	13918.0	
1/4/21, 12:00:00 AM CET	19097.0	13918.0	
1/5/21, 12:00:00 AM CET	19097.0	13918.0	
1/6/21, 12:00:00 AM CET	19097.0	13918.0	
1/7/21, 12:00:00 AM CET	19097.0	13918.0	
1/8/21, 12:00:00 AM CET	19097.0	13918.0	
1/9/21, 12:00:00 AM CET	19097.0	13918.0	
1/10/21, 12:00:00 AM CET	19097.0	13918.0	
1/11/21, 12:00:00 AM CET	19097.0	13918.0	
1/12/21, 12:00:00 AM CET	19097.0	13918.0	
1/13/21, 12:00:00 AM CET	19097.0	13918.0	
1/14/21, 12:00:00 AM CET	19097.0	13918.0	
1/15/21, 12:00:00 AM CET	19097.0	13918.0	
1/16/21, 12:00:00 AM CET	19097.0	13918.0	
1/17/21, 12:00:00 AM CET	19097.0	13918.0	
1/18/21, 12:00:00 AM CET	19097.0	13918.0	
1/19/21, 12:00:00 AM CET	19097.0	13918.0	
